ID,Nische,Subnische,Zielgruppe,Anlass,Spruch,Designrichtung,Hauptkeyword,Risiko
79,Gaming,Pixel,Unisex,Alltag,Pixel im Herzen,Pixel Heart,gamer shirt,niedrig
80,Gaming,Controller,Unisex,Alltag,Controller statt Stress,Generic Controller,gaming shirt,niedrig
81,Alltag,Kaffee,Unisex,Alltag,Heute leider keine Menschen,Minimal Humor,lustiges shirt,niedrig
82,Alltag,Kaffee,Unisex,Alltag,"Kaffee zuerst, Realitaet spaeter",Coffee Typografie,kaffee shirt,niedrig
83,Alltag,Energie,Unisex,Alltag,"Ich bin nicht faul, ich lade nur",Battery Icon,lustiges shirt,niedrig
84,Alltag,Laune,Unisex,Alltag,Gute Laune wird ueberbewertet,Bold Text,humor shirt,niedrig
85,Alltag,Introvertiert,Unisex,Alltag,Sozialakku leer,Battery Minimal,introvertiert shirt,niedrig
86,Alltag,Kaffee,Unisex,Alltag,"Ich hoere Stimmen, sie wollen Kaffee",Coffee Humor,kaffee geschenk,niedrig
87,Alltag,Humor,Unisex,Alltag,Nett war gestern,Minimal Bold,lustiges shirt,niedrig
88,Alltag,Kaffee,Unisex,Alltag,Mein Humor ist schwarz wie mein Kaffee,Coffee Dark,kaffee shirt,niedrig
89,Alltag,Montag,Unisex,Alltag,Montag ist ein Gefuehl,Minimal Humor,montag shirt,niedrig
90,Alltag,Erklaerung,Unisex,Alltag,"Ich kann das erklaeren, will aber nicht",Dry Humor,lustiges shirt,niedrig
91,Kombi,Hundemama Jahrgang,Frau,Geburtstag,Hundemama Jahrgang 1988,Paw Vintage,hundemama 1988 shirt,niedrig
92,Kombi,Grill Papa,Mann,Vatertag,Grillmeister seit 1980,BBQ Vintage,grillmeister shirt,niedrig
93,Kombi,Erzieherin Kaffee,Frau,Danke Geschenk,Erzieherin mit Kaffee und Herz,Coffee Heart,erzieherin geschenk,niedrig
94,Kombi,Gamer Papa,Mann,Vatertag,Gamer Papa seit 2024,Pixel Label,gamer papa shirt,niedrig
95,Kombi,Handwerker Opa,Mann,Geburtstag,Handwerker Opa mit Stil,Tool Vintage,opa handwerker shirt,niedrig
96,Kombi,Fitness Mama,Frau,Alltag,Fitness Mama mit Power,Dumbbell Heart,fitness mama shirt,niedrig
97,Kombi,Camping Papa,Mann,Vatertag,Camping Papa braucht keinen Luxus,Camp Vintage,camping papa shirt,niedrig
98,Kombi,Pflege Jahrgang,Frau,Geburtstag,Krankenschwester seit 1995,Heartline Vintage,krankenschwester shirt,niedrig
99,Kombi,Angler Opa,Mann,Geburtstag,Angler Opa mit Geduld,Fishing Minimal,angler opa shirt,niedrig
100,Kombi,Mama Level,Frau,Geburtstag,Mama Level 30 freigeschaltet,Generic Level,mama level shirt,niedrig
