ID,Titel,Tags,Beschreibung kurz,Zielgruppe,Anlass
11,"Sozialakku leer T-Shirt, introvertiert Shirt, lustiges Alltagsshirt","introvertiert,sozialakku,lustiges shirt,humor shirt,alltag shirt,shirt frau,shirt herren,t shirt lustig,kaffee humor,anti social,geschenk freundin,geschenk mann,minimal shirt","Minimalistischer Alltagshumor fuer introvertierte Menschen.",Unisex,Alltag
12,"Kaffee zuerst Realitaet spaeter Shirt, Kaffee Geschenk, lustiges T-Shirt","kaffee shirt,kaffeeliebe,coffee shirt,lustiges shirt,geschenk frau,geschenk mann,buero shirt,morgenmuffel,t shirt kaffee,alltag humor,kaffee geschenk,minimal shirt,cozy shirt","Fuer alle, die vor dem ersten Kaffee nicht verhandeln.",Unisex,Alltag
13,"Grillmeister Papa Shirt, Vatertag Geschenk, BBQ T-Shirt","grillmeister,papa shirt,grillen,bbq shirt,vatertag,geschenk papa,grill shirt,lustiges shirt,t shirt papa,geschenk mann,papa geburtstag,sommer shirt,barbecue","Perfekt fuer den Grillchef der Familie.",Mann,Vatertag
14,"Baujahr 1979 laeuft noch T-Shirt, Jahrgang 1979 Geburtstag Shirt","1979 shirt,jahrgang 1979,baujahr 1979,geburtstag shirt,vintage shirt,geschenk mann,lustiges shirt,shirt herren,t shirt mann,45 geburtstag,retro shirt,geschenk papa,geburtstag","Humorvolles Jahrgangsshirt fuer Geburtstage.",Mann,Geburtstag
15,"Fitness Mama mit Power Shirt, Gym Geschenk, Sport T-Shirt","fitness mama,gym shirt,sport shirt,mama shirt,fitness geschenk,shirt frau,t shirt fitness,stark shirt,training shirt,lustiges shirt,mama geschenk,dumbbell shirt,workout","Fuer aktive Mamas mit Power und Trainingsliebe.",Frau,Training
16,"Lehrer Ich erklaere es nochmal Shirt, Schule Geschenk, Berufsshirt","lehrer shirt,lehrerin shirt,schule shirt,berufsshirt,geschenk lehrer,danke lehrer,lustiges shirt,kollegium,unterricht shirt,t shirt lehrer,abschied geschenk,teacher shirt,alltag humor","Humorvolles Shirt fuer Lehrkraefte.",Unisex,Danke Geschenk
17,"Werkzeug statt Worte T-Shirt, Handwerker Geschenk, Heimwerker Shirt","handwerker,werkzeug shirt,heimwerker,geschenk mann,lustiges shirt,handwerk shirt,werkstatt shirt,t shirt mann,schrauber shirt,vatertag,papa geschenk,mechaniker,do it yourself","Fuer Macher, Schrauber und Heimwerker.",Mann,Alltag
18,"Zuhause ist wo mein Hund ist Shirt, Hundeliebe Geschenk, Hunde T-Shirt","hundeliebe,hundemama,hundepapa,hunde shirt,haustier shirt,pfoten shirt,hunde geschenk,geschenk frau,geschenk mann,t shirt hund,zuhause shirt,hundebesitzer,liebe shirt","Emotionales Shirt fuer Hundemenschen.",Unisex,Alltag
19,"Level 40 freigeschaltet Geburtstag Shirt, Gamer Geschenk, 40 Geburtstag T-Shirt","level 40,40 geburtstag,gamer shirt,gaming geschenk,zocker shirt,geburtstag gamer,lustiges shirt,shirt herren,t shirt gamer,level shirt,geschenk mann,pixel shirt,40er shirt","Gaming-Geburtstagsshirt mit generischer Level-Optik.",Unisex,Geburtstag
20,"Lesen ist mein Abenteuer Shirt, Buecherliebe Geschenk, Leseratte T-Shirt","buecherliebe,lesen shirt,leseratte,buch geschenk,shirt frau,buecher shirt,book lover,geschenk frau,lustiges shirt,t shirt lesen,cozy shirt,bibliothek,abenteuer shirt","Fuer Leseratten und Buecherfans.",Frau,Geschenk
